education,experience,projects,skills,score
"Ph.D. AI, Harvard",DevOps Engineer at Google (5 yrs),Created a website for a local business; Built a chatbot with NLP; Designed a REST API,"SQL, TensorFlow, Python, Excel, Java, Docker",0.85
"Diploma in IT, Community College",Intern at Amazon (3 yrs); DevOps Engineer at Microsoft (3 yrs); Intern at Startup Inc (3 yrs),Built an ML model to predict sales; Developed a mobile app; Built a chatbot with NLP,"Git, Docker, Excel, Pandas, TensorFlow",0.6
"B.A. History, Community College",DevOps Engineer at Local Business (1 yrs),Built a chatbot with NLP; Designed a REST API; Built an ML model to predict sales,"Pandas, Docker, SQL, JavaScript, TensorFlow, Kubernetes",0.3
"B.Eng Software Eng., Stanford",Consultant at Startup Inc (2 yrs),Created a website for a local business,"Kubernetes, TensorFlow, Pandas, AWS, Java, Git, Excel, Docker",0.25
"B.A. History, Harvard",Consultant at IBM (5 yrs),Built an ML model to predict sales; Automated data processing pipeline,"AWS, Java, Git, Docker, Pandas, Kubernetes, Excel",0.5
"Ph.D. AI, MIT",Intern at Microsoft (4 yrs); DevOps Engineer at Amazon (4 yrs); Consultant at Apple (1 yrs); Data Analyst at Startup Inc (1 yrs),Created a data dashboard; Built a portfolio using React; Designed a REST API,"Docker, Java, Pandas, Excel, C++",0.85
"M.Sc. Data Science, MIT",DevOps Engineer at Unknown Firm (5 yrs); Business Analyst at Unknown Firm (5 yrs),Created a website for a local business,"Git, Pandas, Excel, Kubernetes, TensorFlow, C++, SQL",0.25
"Ph.D. AI, State University",Consultant at Unknown Firm (4 yrs); Intern at Facebook (5 yrs); Intern at Amazon (1 yrs); DevOps Engineer at Unknown Firm (2 yrs),Created a website for a local business,"C++, Kubernetes, SQL",0.55
"B.A. History, Georgia Tech",Consultant at IBM (5 yrs); Data Analyst at Microsoft (4 yrs),Built an ML model to predict sales; Developed a mobile app; Created a data dashboard,"Pandas, Java, Git, Kubernetes",0.45
"B.A. History, Harvard",Business Analyst at Facebook (4 yrs); Intern at Local Business (2 yrs); Consultant at Apple (2 yrs),Designed a REST API; Built an ML model to predict sales,"Pandas, Git, Excel, Python, Java",0.9
"B.Eng Software Eng., Stanford",DevOps Engineer at Microsoft (2 yrs); Data Analyst at Facebook (2 yrs),Built an ML model to predict sales; Built a chatbot with NLP,"SQL, Git, Java",0.6
"B.A. History, Harvard",Intern at Amazon (1 yrs),Designed a REST API; Created a website for a local business; Built an ML model to predict sales,"Pandas, AWS, TensorFlow, Python, Git, Excel, Java",0.75
"B.Sc. Computer Science, Berkeley",Data Analyst at Unknown Firm (2 yrs),Built an ML model to predict sales,"AWS, Excel, JavaScript",0.15
"B.Eng Software Eng., UCLA",Data Analyst at Microsoft (2 yrs); DevOps Engineer at Amazon (2 yrs); DevOps Engineer at Startup Inc (1 yrs),Developed a mobile app; Designed a REST API; Built a chatbot with NLP,"AWS, Python, Java",0.75
"B.Sc. Computer Science, Stanford",Software Engineer at Microsoft (2 yrs); Consultant at Startup Inc (3 yrs),Created a website for a local business; Built a portfolio using React,"Docker, JavaScript, Git, Python, SQL, C++",0.6
